UNFRMD_S,S,RANK_SUBCA,UNFRMD_SRVC_OCCPTN_TX,J,JDL_RCRD_CHNG_DT,JDL,BLANK
 0715,A,O,Railway Maintenance-Of-Way Superintendent,, 2000-01-12 00:00:00,JDL, 
 0716,A,O,Railway Bridge & Building Supervisor,, 2000-01-12 00:00:00,JDL, 
 0717,A,O,Railway Track Supervisor,, 2000-01-12 00:00:00,JDL, 
 0718,A,O,Railway Signal Maintenance Supervisor,, 2000-01-12 00:00:00,JDL, 
 0720,A,O,"Road Foreman, Railroad Locomotives",, 2000-01-12 00:00:00,JDL, 
 0730,A,O,Yardmaster,, 2000-01-12 00:00:00,JDL, 
 0735,A,O,Railway Master Mechanic,, 2000-01-12 00:00:00,JDL, 
 0736,A,O,Railway Car Foreman,, 2000-01-12 00:00:00,JDL, 
 0737,A,O,Enginehouse Foreman,, 2000-01-12 00:00:00,JDL, 
 0740,A,O,Railway Dispatcher,, 2000-01-12 00:00:00,JDL, 
 0750,A,O,Railway Operations Superintendent,, 2000-01-12 00:00:00,JDL, 
 0753,A,O,Railway Car Service Superintendent,, 2000-01-12 00:00:00,JDL, 
 0754,A,O,Railway Equipment Superintendent,, 2000-01-12 00:00:00,JDL, 
 0801,A,O,Harbor Master,, 2000-01-12 00:00:00,JDL, 
 0804,A,O,Cargo Officer,, 2000-01-12 00:00:00,JDL, 
 0815,A,O,Port Operations Officer,, 2000-01-12 00:00:00,JDL, 
 0820,A,O,Dredge Master,, 2000-01-12 00:00:00,JDL, 
 0823,A,O,Dredge Engineering Officer,, 2000-01-12 00:00:00,JDL, 
 0825,A,O,Harbor Craft Unit Commander,, 2000-01-12 00:00:00,JDL, 
 09B,A,E,Trainee,, 2000-01-12 00:00:00,JDL, 
 09C,A,E,Split Unit Trainee,, 2000-01-12 00:00:00,JDL, 
 09D,A,E,College Trainee,, 2000-01-12 00:00:00,JDL, 
 09E,A,E,WAC Trainee,, 2000-01-12 00:00:00,JDL, 
 09R,A,E,Simultaneous Membership Program Participant (Reserve Forces),, 2000-01-12 00:00:00,JDL, 
 09S,A,E,Commissioned Officer Candidate,, 2000-01-12 00:00:00,JDL, 
 09T,A,E,College Student ARNG Officer Program (Reserve Forces),, 2000-01-12 00:00:00,JDL, 
 09W,A,E,Warrant Officer Candidate,, 2000-01-12 00:00:00,JDL, 
 100A,A,W,Multiengine Utility Helicopter Pilot,, 2000-01-12 00:00:00,JDL, 
 100B,A,W,Utility/Observation Helicopter Pilot,, 2000-01-12 00:00:00,JDL, 
 100C,A,W,Cargo Helicopter Pilot,, 2000-01-12 00:00:00,JDL, 
 100D,A,W,Heavy Lift Helicopter Pilot,, 2000-01-12 00:00:00,JDL, 
 100E,A,W,Attack Helicopter Pilot,, 2000-01-12 00:00:00,JDL, 
 100F,A,W,"Pilot, OH-6",, 2000-01-12 00:00:00,JDL, 
 100G,A,W,"Pilot, OH-58",, 2000-01-12 00:00:00,JDL, 
 100K,A,W,Multiengine Attack Helicopter Pilot,, 2000-01-12 00:00:00,JDL, 
 100P,A,W,"Pilot, U-8",, 2000-01-12 00:00:00,JDL, 
 100Q,A,W,Combat Service/Support Fixed Wing Pilot,, 2000-01-12 00:00:00,JDL, 
 100R,A,W,Combat Surveillance Fixed Wing Pilot,, 2000-01-12 00:00:00,JDL, 
 100Z,A,W,"Pilot, Nonstandard Aircraft",, 2000-01-12 00:00:00,JDL, 
 1010,A,O,Combat Signal Unit Commander,, 2000-01-12 00:00:00,JDL, 
 103A,A,W,Aviation Technician,, 2000-01-12 00:00:00,JDL, 
 110,A,O,***** Dummy Officer Entry For DMDC Matching *****,, 2000-01-12 00:00:00,JDL, 
 1111,A,O,Safeguard Unit Commander,, 2000-01-12 00:00:00,JDL, 
 1115,A,O,Safeguard Staff Officer,, 2000-01-12 00:00:00,JDL, 
 1154,A,O,Field Artillery Target Acquisition Officer,, 2000-01-12 00:00:00,JDL, 
 1174,A,O,Light Air Defense Artillery Unit Commander,, 2000-01-12 00:00:00,JDL, 
 1176,A,O,Composite Aaa Unit Commander,, 2000-01-12 00:00:00,JDL, 
 1177,A,O,"Air Defense Missile Staff Officer, Nike Hercules",, 2000-01-12 00:00:00,JDL, 
 1178,A,O,"Air Defense Missile Staff Officer, Hawk",, 2000-01-12 00:00:00,JDL, 
 1180,A,O,Air Defense Missile Unit Commander,, 2000-01-12 00:00:00,JDL, 
 1181,A,O,Guided Missile Systems Officer,, 2000-01-12 00:00:00,JDL, 
 1183,A,O,Reconnaissance & Survey Officer,, 2000-01-12 00:00:00,JDL, 
 1190,A,O,Ballistic Missile Unit Commander,, 2000-01-12 00:00:00,JDL, 
 1193,A,O,Field Artillery Unit Commander,, 2000-01-12 00:00:00,JDL, 
 1198,A,O,Field Illumination Unit Commander,, 2000-01-12 00:00:00,JDL, 
 11A,A,O,Infantry,, 2000-01-12 00:00:00,JDL, 
 11B,A,E,Infantryman,, 2000-01-12 00:00:00,JDL, 
 11B,A,O,Light Infantry,, 2000-01-12 00:00:00,JDL, 
 11BXH,A,E,Light Weapon Infantryman,, 2000-01-12 00:00:00,JDL, 
 11C,A,E,Indirect Fire Infantryman,, 2000-01-12 00:00:00,JDL, 
 11C,A,O,Mechanized Infantry,, 2000-01-12 00:00:00,JDL, 
 11CXH,A,E,Infantry Indirect Fire Crewman,, 2000-01-12 00:00:00,JDL, 
 11D,A,E,Armor Reconnaissance Specialist,, 2000-01-12 00:00:00,JDL, 
 11E,A,E,Armor Crewman,, 2000-01-12 00:00:00,JDL, 
 11H,A,E,Heavy Antiarmor Weapons Infantryman,, 2000-01-12 00:00:00,JDL, 
 11L,A,E,Infantry Senior Sergeant,, 2000-01-12 00:00:00,JDL, 
 11M,A,E,Fighting Vehicle Infantryman,, 2000-01-12 00:00:00,JDL, 
 11X,A,E,Infantry (Reporting Code),, 2000-01-12 00:00:00,JDL, 
 11X,A,O,*,, 2000-01-12 00:00:00,JDL, 
 11Z,A,E,Infantry Senior Sergeant,, 2000-01-12 00:00:00,JDL, 
 120,A,O,***** Dummy Officer Entry For DMDC Matching *****,, 2000-01-12 00:00:00,JDL, 
 1203,A,O,Tank Unit Commander,, 2000-01-12 00:00:00,JDL, 
 1204,A,O,Armored Reconnaissance Unit Commander,, 2000-01-12 00:00:00,JDL, 
 1210,A,O,Armored Combat Command Commander,, 2000-01-12 00:00:00,JDL, 
 12A,A,E,Pioneer,, 2000-01-12 00:00:00,JDL, 
 12A,A,O,"Armor, General",, 2000-01-12 00:00:00,JDL, 
 12B,A,E,Combat Engineer,, 2000-01-12 00:00:00,JDL, 
 12B,A,O,Armor,, 2000-01-12 00:00:00,JDL, 
 12C,A,E,Bridge Crewmember,, 2000-01-12 00:00:00,JDL, 
 12C,A,O,Cavalry,, 2000-01-12 00:00:00,JDL, 
 12D,A,E,Powered Bridge Specialist,, 2000-01-12 00:00:00,JDL, 
 12E,A,E,Atomic Demolition Munitions Specialist,, 2000-01-12 00:00:00,JDL, 
 12F,A,E,Engineer Tracked Vehicle Crewman,, 2000-01-12 00:00:00,JDL, 
 12X,A,O,*,, 2000-01-12 00:00:00,JDL, 
 12Z,A,E,Combat Engineering Senior Sergeant,, 2000-01-12 00:00:00,JDL, 
 130A,A,W,"Missile System Technician, Pershing",, 2000-01-12 00:00:00,JDL, 
 130B,A,W,LANCE Missile System Technician,, 2000-01-12 00:00:00,JDL, 
 131,A,Left Blank,Unknown,, 2000-01-12 00:00:00,JDL, 
 131A,A,W,Field Artillery Targeting Technician,, 2000-01-12 00:00:00,JDL, 
 131B,A,W,Remote Piloted Vehicle Technician,, 2000-01-12 00:00:00,JDL, 
 1328,A,O,Engineer Construction Unit Commander,, 2000-01-12 00:00:00,JDL, 
 132A,A,W,Meteorology Technician,, 2000-01-12 00:00:00,JDL, 
 1330,A,O,Armored Engineer Unit Commander,, 2000-01-12 00:00:00,JDL, 
 1331,A,O,Combat Engineer Unit Commander,, 2000-01-12 00:00:00,JDL, 
 1342,A,O,Portable Bridge Unit Commander,, 2000-01-12 00:00:00,JDL, 
 1367,A,O,Amphibious Engineer Unit Commander,, 2000-01-12 00:00:00,JDL, 
 13A,A,E,Field Artillery Basic,, 2000-01-12 00:00:00,JDL, 
 13A,A,O,"Field Artillery, General",, 2000-01-12 00:00:00,JDL, 
 13B,A,E,Cannon Crewmember,, 2000-01-12 00:00:00,JDL, 
 13B,A,O,Light Missile Field Artillery,, 2000-01-12 00:00:00,JDL, 
 13C,A,E,Automated Fire Support Systems Specialist,, 2000-01-12 00:00:00,JDL, 
 13C,A,O,Heavy Missile Field Artillery,, 2000-01-12 00:00:00,JDL, 
 13D,A,E,Field Artillery Tactical Data System Specialist,, 2000-01-12 00:00:00,JDL, 
 13D,A,O,Field Artillery Target Acquisition,, 2000-01-12 00:00:00,JDL, 
 13E,A,E,Cannon Fire Direction Specialist,, 2000-01-12 00:00:00,JDL, 
 13E,A,O,Cannon Field Artillery,, 2000-01-12 00:00:00,JDL, 
 13F,A,E,Fire Support Specialist,, 2000-01-12 00:00:00,JDL, 
 13M,A,E,Multiple Launch Rocket System (MLRS) Crewmember,, 2000-01-12 00:00:00,JDL, 
 13N,A,E,LANCE Crewmember,, 2000-01-12 00:00:00,JDL, 
 13P,A,E,Multiple Launch Rocket System/Fire Dircection Specialist,, 2000-01-12 00:00:00,JDL, 
 13R,A,E,FA Firefinder Radar Operator,, 2000-01-12 00:00:00,JDL, 
 13T,A,E,Remotely Piloted Vehicle Crewmember,, 2000-01-12 00:00:00,JDL, 
 13W,A,E,Field Artillery Target Acquisition Senior Sergeant,, 2000-01-12 00:00:00,JDL, 
 13X,A,O,*,, 2000-01-12 00:00:00,JDL, 
 13Y,A,E,Cannon/Missile Senior Sergeant,, 2000-01-12 00:00:00,JDL, 
 13Z,A,E,Field Artillery Senior Sergeant,, 2000-01-12 00:00:00,JDL, 
 140A,A,W,Command and Control Systems Integrator,, 2000-01-12 00:00:00,JDL, 
 140B,A,W,FAAD Systems Technician,, 2000-01-12 00:00:00,JDL, 
 140C,A,W,Custodial System Technician,, 2000-01-12 00:00:00,JDL, 
 140D,A,W,HAWK System Technician,, 2000-01-12 00:00:00,JDL, 
 140E,A,W,PATRIOT System Technician,, 2000-01-12 00:00:00,JDL, 
 1415,A,O,Chemical Combat Support Unit Commander,, 2000-01-12 00:00:00,JDL, 
 14A,A,O,"Air Defense Artillery, General",, 2000-01-12 00:00:00,JDL, 
 14B,A,O,SHORAD,, 2000-01-12 00:00:00,JDL, 
 14C,A,O,Nike Hercules Missile Air Defense Artillery,, 2000-01-12 00:00:00,JDL, 
 14D,A,E,Hawk Missile System Crewmember,, 2000-01-12 00:00:00,JDL, 
 14D,A,O,Hawk Missile Air Defense Artillery,, 2000-01-12 00:00:00,JDL, 
 14E,A,E,PATRIOT Fire Control Enhanced Operator/Maintainer,, 2000-01-12 00:00:00,JDL, 
 14E,A,O,Patriot Missile ADA,, 2000-01-12 00:00:00,JDL, 
 14F,A,O,Guided Missile Systems Officer,, 2000-01-12 00:00:00,JDL, 
 14G,A,O,Air Defense Artillery Command & Control Officer,, 2000-01-12 00:00:00,JDL, 
 14J,A,E,Air Defense C4I Tactical Operations Center Enhanced Operator/Maintainer,, 2000-01-12 00:00:00,JDL, 
 14L,A,E,AN/TSQ-73 Air Defense Artillery Command and Control System Operator/Maintainer,, 2000-01-12 00:00:00,JDL, 
 14M,A,E,Man Portable Air Defense System Crewmember,, 2000-01-12 00:00:00,JDL, 
 14R,A,E,BRADLEY Linebacker Crewmember,, 2000-01-12 00:00:00,JDL, 
 14S,A,E,Avenger Crewmember,, 2000-01-12 00:00:00,JDL, 
 14T,A,E,PATRIOT Launching Station Enhanced Operator/Maintainer,, 2000-01-12 00:00:00,JDL, 
 14Z,A,E,Air Defense Artillery Senior Sergeant,, 2000-01-12 00:00:00,JDL, 
 150,A,O,***** Dummy Officer Entry For DMDC Matching *****,, 2000-01-12 00:00:00,JDL, 
 150A,A,W,Air Traffic Control Technician,, 2000-01-12 00:00:00,JDL, 
 151,A,Left Blank,Unknown,, 2000-01-12 00:00:00,JDL, 
 151A,A,W,Aviation Maintenance Technician,, 2000-01-12 00:00:00,JDL, 
 152,A,Left Blank,Unknown,, 2000-01-12 00:00:00,JDL, 
 152B,A,W,OH-58A/C Scout Pilot,, 2000-01-12 00:00:00,JDL, 
 152C,A,W,OH-6 Scout Pilot,, 2000-01-12 00:00:00,JDL, 
 152D,A,W,OH-58D Scout Pilot,, 2000-01-12 00:00:00,JDL, 
 152F,A,W,AH-64 Pilot,, 2000-01-12 00:00:00,JDL, 
 152G,A,W,AH-1 Pilot,, 2000-01-12 00:00:00,JDL, 
 152H,A,W,AH-64D Attack Pilot,, 2000-01-12 00:00:00,JDL, 
 153,A,Left Blank,Unknown,, 2000-01-12 00:00:00,JDL, 
 153A,A,W,Rotary Wing Aviator,, 2000-01-12 00:00:00,JDL, 
 153B,A,W,UH-1 Pilot,, 2000-01-12 00:00:00,JDL, 
 153C,A,W,OH-58A/C Pilot (Observation),, 2000-01-12 00:00:00,JDL, 
 153D,A,W,UH-60 Pilot,, 2000-01-12 00:00:00,JDL, 
 154,A,Left Blank,Unknown,, 2000-01-12 00:00:00,JDL, 
 1542,A,O,Infantry Unit Commander,, 2000-01-12 00:00:00,JDL, 
 1543,A,O,Infantry Heavy Mortar Unit Commander,, 2000-01-12 00:00:00,JDL, 
 154A,A,W,CH-54 Pilot,, 2000-01-12 00:00:00,JDL, 
 154B,A,W,CH-47A/B/C Pilot,, 2000-01-12 00:00:00,JDL, 
 154C,A,W,CH-47D Pilot,, 2000-01-12 00:00:00,JDL, 
 155,A,Left Blank,Unknown,, 2000-01-12 00:00:00,JDL, 
 155A,A,W,Fixed Wing Aviator,, 2000-01-12 00:00:00,JDL, 
 155D,A,W,U-21 Pilot,, 2000-01-12 00:00:00,JDL, 
 155E,A,W,C-12 Pilot,, 2000-01-12 00:00:00,JDL, 
 155F,A,W,Jet Aircraft Pilot,, 2000-01-12 00:00:00,JDL, 
 155G,A,W,0-5A/EO-5B/RC-7 Pilot,, 2000-01-12 00:00:00,JDL, 
 1560,A,O,Infantry Unit Commander (Mechanized),, 2000-01-12 00:00:00,JDL, 
 156A,A,W,OB-1/RV-1 Pilot,, 2000-01-12 00:00:00,JDL, 
 15A,A,O,Aviation General,, 2000-01-12 00:00:00,JDL, 
 15B,A,E,Sergeant Missile Crewman,, 2000-01-12 00:00:00,JDL, 
 15B,A,O,"Aviation, Combined Arms Operations",, 2000-01-12 00:00:00,JDL, 
 15C,A,O,Aviation All-Source Intelligence,, 2000-01-12 00:00:00,JDL, 
 15D,A,E,LANCE Crewmember/MLRS Sergeant,, 2000-01-12 00:00:00,JDL, 
 15D,A,O,"Aviation, Logistics",, 2000-01-12 00:00:00,JDL, 
 15E,A,E,Pershing Missile Crewmember,, 2000-01-12 00:00:00,JDL, 
 15E,A,O,"Aviation, Tactical Communications",, 2000-01-12 00:00:00,JDL, 
 15F,A,E,Honest John Rocket Crew Member,, 2000-01-12 00:00:00,JDL, 
 15J,A,E,MLRS/LANCE Operational/Fire Direction Specialist,, 2000-01-12 00:00:00,JDL, 
 15M,A,O,"Aviation, Combat Intelligence",, 2000-01-12 00:00:00,JDL, 
 15S,A,O,"Aviation, Air Traffic Control",, 2000-01-12 00:00:00,JDL, 
 15T,A,O,Aviation Logistics,, 2000-01-12 00:00:00,JDL, 
 15Z,A,E,Field Artillery Missle-Rocket Senior Sergeant,, 2000-01-12 00:00:00,JDL, 
 160A,A,W,Aviation Maintenance Technician,, 2000-01-12 00:00:00,JDL, 
 1690,A,O,Military Intelligence Unit Commander,, 2000-01-12 00:00:00,JDL, 
 1691,A,O,Army Cryptologic & Electronic Warfare Unit Commander,, 2000-01-12 00:00:00,JDL, 
 16B,A,E,Hercules Missile Crew Member,, 2000-01-12 00:00:00,JDL, 
 16C,A,E,Hercules Fire Control Crewman,, 2000-01-12 00:00:00,JDL, 
 16D,A,E,Hawk Missile Crewmember,, 2000-01-12 00:00:00,JDL, 
 16E,A,E,Hawk Fire Control Crewmember,, 2000-01-12 00:00:00,JDL, 
 16F,A,E,Light Air Defense Artillery Crewmember (Reserve Forces),, 2000-01-12 00:00:00,JDL, 
 16G,A,E,ROLAND Systems Crewmember (Reserve Forces),, 2000-01-12 00:00:00,JDL, 
 16H,A,E,Air Defense Artillery Operations & Intelligence Assistant,, 2000-01-12 00:00:00,JDL, 
 16J,A,E,Defense Acquisition Radar Operator,, 2000-01-12 00:00:00,JDL, 
 16L,A,E,SGT YORK Air Defense Gun Crewmember,, 2000-01-12 00:00:00,JDL, 
 16P,A,E,CHAPARRAL Crewmember,, 2000-01-12 00:00:00,JDL, 
 16R,A,E,VULCAN Crewmember,, 2000-01-12 00:00:00,JDL, 
 16S,A,E,Man Portable Air Defense Systems (MANPADS) Crewmember,, 2000-01-12 00:00:00,JDL, 
 16T,A,E,Patriot Missile Crewmember,, 2000-01-12 00:00:00,JDL, 
 16X,A,E,Air Defense (Reporting Code),, 2000-01-12 00:00:00,JDL, 
 16Z,A,E,Air Defense Artillery Senior Sergeant,, 2000-01-12 00:00:00,JDL, 
 17A,A,E,Combat Surveillance & Target Acquisition Crewman,, 2000-01-12 00:00:00,JDL, 
 17B,A,E,Field Artillery Radar Crewmember,, 2000-01-12 00:00:00,JDL, 
 17C,A,E,Field Artillery Target Acquisition Specialist,, 2000-01-12 00:00:00,JDL, 
 17D,A,E,Flash Ranging Crewman,, 2000-01-12 00:00:00,JDL, 
 17E,A,E,Field Illumination Crewman,, 2000-01-12 00:00:00,JDL, 
 17K,A,E,Ground Surveillance Radar Crewman,, 2000-01-12 00:00:00,JDL, 
 17L,A,E,Aerial Sensor Specialist (Reserve Forces),, 2000-01-12 00:00:00,JDL, 
 17M,A,E,Remote Sensor Specialist,, 2000-01-12 00:00:00,JDL, 
 17Z,A,E,Combat Surveillance & Target Acquisition NCO,, 2000-01-12 00:00:00,JDL, 
 180A,A,W,Special Forces Warrant Officer,, 2000-01-12 00:00:00,JDL, 
 18A,A,O,Special Forces,, 2000-01-12 00:00:00,JDL, 
 18B,A,E,Special Forces Weapons Sergeant,, 2000-01-12 00:00:00,JDL, 
 18B,A,O,Psychological Operations,, 2000-01-12 00:00:00,JDL, 
 18C,A,E,Special Forces Engineer Sergeant,, 2000-01-12 00:00:00,JDL, 
 18C,A,O,Civil Affairs Operations (AC),, 2000-01-12 00:00:00,JDL, 
 18D,A,E,Special Forces Medical Sergeant,, 2000-01-12 00:00:00,JDL, 
 18E,A,E,Special Forces Communications Sergeant,, 2000-01-12 00:00:00,JDL, 
 18F,A,E,Special Forces Assistant Operations and Intelligence Sergeant,, 2000-01-12 00:00:00,JDL, 
 18X,A,E,Special Forces Candidate (Reporting Code),, 2000-01-12 00:00:00,JDL, 
 18Z,A,E,Special Forces Senior Sergeant,, 2000-01-12 00:00:00,JDL, 
 1980,A,O,Fixed Wing Aviation Unit Commander,, 2000-01-12 00:00:00,JDL, 
 1981,A,O,Rotary Wing Aviation Unit Commander,, 2000-01-12 00:00:00,JDL, 
 1982,A,O,Airfield Commander,, 2000-01-12 00:00:00,JDL, 
 1987,A,O,Composite Aviation Unit Commander,, 2000-01-12 00:00:00,JDL, 
 19A,A,E,Armor Recruit,, 2000-01-12 00:00:00,JDL, 
 19D,A,E,Cavalry Scout,, 2000-01-12 00:00:00,JDL, 
