CFW_ID,ORG_GROUP_ID,ORG_ID,BLANK,OG
3ID-CFW,3ID-DIV-OG,703-MSB, ,T
3ID-CFW,3ID-DIV-OG,DIVARTY-3ID-HHB, ,T
3ID-CFW,3ID-DIV-OG,ENGBDE-3ID-HHD, ,T
3ID-CFW,553-CSB-OG,157-QMCO-FSVC, ,T
3ID-CFW,553-CSB-OG,186-WTRPURDET, ,T
3ID-CFW,553-CSB-OG,18-QMPLT, ,T
3ID-CFW,553-CSB-OG,202-WTRPURDET, ,T
3ID-CFW,553-CSB-OG,226-QMCO-SPLY, ,T
3ID-CFW,553-CSB-OG,24-ODCO, ,T
3ID-CFW,553-CSB-OG,512-QMCO-WTRSPLY, ,T
3ID-CFW,553-CSB-OG,553-CSB-HHD, ,T
3ID-CFW,553-CSB-OG,602-MAINTCO, ,T
3ID-CFW,553-CSB--OG,157-QMCO-FSVC, ,T
3ID-CFW,553-CSB--OG,186-WTRPURDET, ,T
3ID-CFW,553-CSB--OG,18-QMPLT, ,T
3ID-CFW,553-CSB--OG,202-WTRPURDET, ,T
3ID-CFW,553-CSB--OG,226-QMCO-SPLY, ,T
3ID-CFW,553-CSB--OG,24-ODCO, ,T
3ID-CFW,553-CSB--OG,512-QMCO-WTRSPLY, ,T
3ID-CFW,553-CSB--OG,602-MAINTCO, ,T
3ID-CFW,AVNBDE-3ID-OG,1-3-AVNBN, ,T
3ID-CFW,AVNBDE-3ID-OG,2-3-AVNBN, ,T
3ID-CFW,AVNBDE-3ID-OG,3-7-CAVSQDN, ,T
3ID-CFW,AVNBDE-3ID-OG,3-AVNBDE-HHC, ,T
3ID-CFW,AVNBDE-3ID-OG,603-DASB, ,T
3ID-CFW,IBCT-OG,1-14-CAVSQDN, ,T
3ID-CFW,IBCT-OG,1-23-INFBN, ,T
3ID-CFW,IBCT-OG,126-MEDTM-FSURG, ,T
3ID-CFW,IBCT-OG,1-37-FABN, ,T
3ID-CFW,IBCT-OG,18-ENGCO, ,T
3ID-CFW,IBCT-OG,209-MICO, ,T
3ID-CFW,IBCT-OG,2-3-INFBN, ,T
3ID-CFW,IBCT-OG,296-SPTBN, ,T
3ID-CFW,IBCT-OG,334-SIGCO, ,T
3ID-CFW,IBCT-OG,3-BDE-2ID-HHC, ,T
3ID-CFW,IBCT-OG,5-20-INFBN, ,T
3ID-CFW,IBCT-OG,52-INF-CCO, ,T
3ID-CFW,SMALL-3ID-OG,92-ENGBN-CBTHVY, ,T
3ID-CFW,SMALL-3ID-OG,418-TKCO-POL, ,T
3ID-CFW,SMALL-3ID-OG,180-TCBN-HHD, ,T
3ID-CFW,SMALL-3ID-OG,89-TKCO-CGO, ,T
3ID-CFW,SMALL-3ID-OG,416-TKCO-POL, ,T
3ID-CFW,SMALL-3ID-OG,10-TCBN-HHC, ,T
3ID-CFW,SMALL-3ID-OG,553-CSB-HHD, ,T
3ID-CFW,SMALL-3ID-OG,110-QMCO-POLSPLY, ,T
3ID-CFW,SMALL-3ID-OG,24-CSB-HHD, ,T
3ID-CFW,SMALL-3ID-OG,24-SPTGP-HHC, ,T
3ID-CFW,SMALL-3ID-OG,3-FSB, ,T
3ID-CFW,SMALL-3ID-OG,3-69-ARBN, ,T
3ID-CFW,SMALL-3ID-OG,2-7-INFBN, ,T
3ID-CFW,SMALL-3ID-OG,2-BDE-3ID-HHC, ,T
3ID-CFW,SMALL-3ID-OG,296-SPTBN, ,T
3ID-CFW,SMALL-3ID-OG,1-23-INFBN, ,T
3ID-CFW,SMALL-3ID-OG,3-BDE-2ID-HHC, ,T
3ID-CFW,SMALL-3ID-OG,703-MSB, ,T
3ID-CFW,SMALL-3ID-OG,3-DISCOM-HHC, ,T
3ID-CFW,SMALL-3ID-OG,3ID-HHC, ,T
3ID-CFW,103-MIBN,103-MIBN, ,
3ID-CFW,10-ENGBN,10-ENGBN, ,
3ID-CFW,10-TCBN-HHC,10-TCBN-HHC, ,
3ID-CFW,1-10-FABN,1-10-FABN, 
3ID-CFW,110-QMCO-POLSPLY,110-QMCO-POLSPLY, 
3ID-CFW,1-14-CAVSQDN,1-14-CAVSQDN, 
3ID-CFW,1-15-INFBN,1-15-INFBN, 
3ID-CFW,119-TCCO-CGO,119-TCCO-CGO, 
3ID-CFW,11-ENGBN,11-ENGBN, 
3ID-CFW,1-23-INFBN,1-23-INFBN, 
3ID-CFW,123-SIGBN,123-SIGBN, 
3ID-CFW,126-MEDTM-FSURG,126-MEDTM-FSURG, 
3ID-CFW,12-FABTRY,12-FABTRY, 
3ID-CFW,1-30-INFBN,1-30-INFBN, 
3ID-CFW,1-37-FABN,1-37-FABN, 
3ID-CFW,1-3-ADABN,1-3-ADABN, 
3ID-CFW,1-3-AVNBN,1-3-AVNBN, 
3ID-CFW,1-41-FABN,1-41-FABN, 
3ID-CFW,147-MEDLOGBN,147-MEDLOGBN, 
3ID-CFW,157-QMCO-FSVC,157-QMCO-FSVC, 
3ID-CFW,1-64-ARBN,1-64-ARBN, 
3ID-CFW,180-TCBN-HHD,180-TCBN-HHD, 
3ID-CFW,186-WTRPURDET,186-WTRPURDET, 
3ID-CFW,18-ENGCO,18-ENGCO, 
3ID-CFW,18-QMPLT,18-QMPLT, 
3ID-CFW,1-9-FABN,1-9-FABN, 
3ID-CFW,1-BDE-3ID-HHC,1-BDE-3ID-HHC, 
3ID-CFW,202-WTRPURDET,202-WTRPURDET, 
3ID-CFW,203-FSB,203-FSB, 
3ID-CFW,209-MICO,209-MICO, 
3ID-CFW,21-MED-CSHOSP,21-MED-CSHOSP, 
3ID-CFW,226-QMCO-SPLY,226-QMCO-SPLY, 
3ID-CFW,2-3-AVNBN,2-3-AVNBN, 
3ID-CFW,2-3-INFBN,2-3-INFBN, 
3ID-CFW,24-CSB-HHD,24-CSB-HHD, 
3ID-CFW,24-ODCO,24-ODCO, 
3ID-CFW,24-SPTGP-HHC,24-SPTGP-HHC, 
3ID-CFW,259-QMCO-FSVC,259-QMCO-FSVC, 
3ID-CFW,2-69-ARBN,2-69-ARBN, 
3ID-CFW,26-FSB,26-FSB, 
3ID-CFW,2-7-INFBN,2-7-INFBN, 
3ID-CFW,296-SPTBN,296-SPTBN, 
3ID-CFW,2-BDE-3ID-HHC,2-BDE-3ID-HHC, 
3ID-CFW,3-15-INFBN,3-15-INFBN, 
3ID-CFW,317-ENGBN,317-ENGBN, 
3ID-CFW,324-SCBN-TRITAC,324-SCBN-TRITAC, 
3ID-CFW,334-SIGCO,334-SIGCO, 
3ID-CFW,343-QMCO-SPLY,343-QMCO-SPLY, 
3ID-CFW,3-69-ARBN,3-69-ARBN, 
3ID-CFW,36-MEDEVACBN-GAMBCO,36-MEDEVACBN-GAMBCO, 
3ID-CFW,3-7-CAVSQDN,3-7-CAVSQDN, 
3ID-CFW,3-7-INFBN,3-7-INFBN, 
3ID-CFW,396-TCCO-PLS,396-TCCO-PLS, 
3ID-CFW,39-FABTRY,39-FABTRY, 
3ID-CFW,3-AVNBDE-HHC,3-AVNBDE-HHC, 
3ID-CFW,3-BDE-2ID-HHC,3-BDE-2ID-HHC, 
3ID-CFW,3-BDE-3ID-HHC,3-BDE-3ID-HHC, 
3ID-CFW,3-DISCOM-HHC,3-DISCOM-HHC, 
3ID-CFW,3-FSB,3-FSB, 
3ID-CFW,3ID-HHC,3ID-HHC, 
3ID-CFW,3-MPCO,3-MPCO, 
3ID-CFW,406-TCDET-TPT,406-TCDET-TPT, 
3ID-CFW,416-TKCO-POL,416-TKCO-POL, 
3ID-CFW,418-TKCO-POL,418-TKCO-POL, 
3ID-CFW,4-64-ARBN,4-64-ARBN, 
3ID-CFW,512-QMCO-WTRSPLY,512-QMCO-WTRSPLY, 
3ID-CFW,5-20-INFBN,5-20-INFBN, 
3ID-CFW,52-INF-CCO,52-INF-CCO, 
3ID-CFW,553-CSB-HHD,553-CSB-HHD, 
3ID-CFW,571-MEDDET-AMBL,571-MEDDET-AMBL, 
3ID-CFW,602-MAINTCO,602-MAINTCO, 
3ID-CFW,603-DASB,603-DASB, 
3ID-CFW,61-ASMEDBN-MEDCO,61-ASMEDBN-MEDCO, 
3ID-CFW,632-MAINTCO,632-MAINTCO, 
3ID-CFW,703-MSB,703-MSB, 
3ID-CFW,89-TKCO-CGO,89-TKCO-CGO, 
3ID-CFW,92-ENGBN-CBTHVY,92-ENGBN-CBTHVY, 
3ID-CFW,96-TCCO-HET,96-TCCO-HET, 
3ID-CFW,CENTCOM-HHC,CENTCOM-HHC, 
3ID-CFW,DIVARTY-3ID-HHB,DIVARTY-3ID-HHB, 
3ID-CFW,DLAHQ,DLAHQ, 
3ID-CFW,ENGBDE-3ID-HHD,ENGBDE-3ID-HHD, 
3ID-CFW,IOC,IOC, 
3ID-CFW,JTF-HHC,JTF-HHC, 
3ID-CFW,NCA,NCA, 
3ID-CFW,TRANSCOM,TRANSCOM, 
