OPLAN_ID,ORG_ID,COMPONENT_ID,START_CDAY,ATTRIBUTE_NAME,END_CDAY,ATTRIBUTE_VALUE
093FF,1-27-FABN,1-27-FABN,75,ACTIVITY_TYPE,100,Employment-Offensive
093FF,1-27-FABN,1-27-FABN,100,ACTIVITY_TYPE,165,Stand-Down
093FF,1-27-FABN,1-27-FABN,0,OPTEMPO,60,Low
093FF,1-27-FABN,1-27-FABN,60,OPTEMPO,75,Medium
093FF,1-27-FABN,1-27-FABN,75,OPTEMPO,100,High
093FF,1-27-FABN,1-27-FABN,100,OPTEMPO,165,Low
093FF,1-35-ARBN,1-35-ARBN,0,LOCATION,10,RUINS
093FF,1-35-ARBN,1-35-ARBN,10,LOCATION,165,RUINS
093FF,1-35-ARBN,1-35-ARBN,0,ACTIVITY_TYPE,10,Deployment
093FF,1-35-ARBN,1-35-ARBN,10,ACTIVITY_TYPE,75,Employment-Defensive
093FF,1-35-ARBN,1-35-ARBN,75,ACTIVITY_TYPE,100,Employment-Offensive
093FF,1-35-ARBN,1-35-ARBN,100,ACTIVITY_TYPE,165,Stand-Down
093FF,1-35-ARBN,1-35-ARBN,0,OPTEMPO,10,Low
093FF,1-35-ARBN,1-35-ARBN,10,OPTEMPO,75,Medium
093FF,1-35-ARBN,1-35-ARBN,75,OPTEMPO,100,High
093FF,1-35-ARBN,1-35-ARBN,100,OPTEMPO,165,Low
093FF,1-36-INFBN,1-36-INFBN,0,LOCATION,10,RUINS
093FF,1-36-INFBN,1-36-INFBN,10,LOCATION,165,RUINS
093FF,1-36-INFBN,1-36-INFBN,0,ACTIVITY_TYPE,10,Deployment
093FF,1-36-INFBN,1-36-INFBN,10,ACTIVITY_TYPE,75,Employment-Defensive
093FF,1-36-INFBN,1-36-INFBN,75,ACTIVITY_TYPE,100,Employment-Offensive
093FF,1-36-INFBN,1-36-INFBN,100,ACTIVITY_TYPE,165,Stand-Down
093FF,1-36-INFBN,1-36-INFBN,0,OPTEMPO,10,Low
093FF,1-36-INFBN,1-36-INFBN,10,OPTEMPO,75,Medium
093FF,1-36-INFBN,1-36-INFBN,75,OPTEMPO,100,High
093FF,1-36-INFBN,1-36-INFBN,100,OPTEMPO,165,Low
093FF,1-37-ARBN,1-37-ARBN,0,LOCATION,10,RUINS
093FF,1-37-ARBN,1-37-ARBN,10,LOCATION,165,RUINS
093FF,1-37-ARBN,1-37-ARBN,0,ACTIVITY_TYPE,10,Deployment
093FF,1-37-ARBN,1-37-ARBN,10,ACTIVITY_TYPE,75,Employment-Defensive
093FF,1-37-ARBN,1-37-ARBN,75,ACTIVITY_TYPE,100,Employment-Offensive
093FF,1-37-ARBN,1-37-ARBN,100,ACTIVITY_TYPE,165,Stand-Down
093FF,1-37-ARBN,1-37-ARBN,0,OPTEMPO,10,Low
093FF,1-37-ARBN,1-37-ARBN,10,OPTEMPO,75,Medium
093FF,1-37-ARBN,1-37-ARBN,75,OPTEMPO,100,High
093FF,1-37-ARBN,1-37-ARBN,100,OPTEMPO,165,Low
093FF,1-4-ADABN,1-4-ADABN,0,LOCATION,10,VIRANSEHIR
093FF,1-4-ADABN,1-4-ADABN,10,LOCATION,165,VIRANSEHIR
093FF,1-4-ADABN,1-4-ADABN,0,ACTIVITY_TYPE,10,Deployment
093FF,1-4-ADABN,1-4-ADABN,10,ACTIVITY_TYPE,75,Employment-Defensive
093FF,1-4-ADABN,1-4-ADABN,75,ACTIVITY_TYPE,100,Employment-Offensive
093FF,1-4-ADABN,1-4-ADABN,100,ACTIVITY_TYPE,165,Stand-Down
093FF,1-4-ADABN,1-4-ADABN,0,OPTEMPO,10,Low
093FF,1-4-ADABN,1-4-ADABN,10,OPTEMPO,75,Medium
093FF,1-4-ADABN,1-4-ADABN,75,OPTEMPO,100,High
093FF,1-4-ADABN,1-4-ADABN,100,OPTEMPO,165,Low
093FF,1-41-INFBN,1-41-INFBN,0,LOCATION,14,RUINS
093FF,1-41-INFBN,1-41-INFBN,14,LOCATION,165,RUINS
093FF,1-41-INFBN,1-41-INFBN,0,ACTIVITY_TYPE,14,Deployment
093FF,1-41-INFBN,1-41-INFBN,14,ACTIVITY_TYPE,75,Employment-Defensive
093FF,1-41-INFBN,1-41-INFBN,75,ACTIVITY_TYPE,100,Employment-Offensive
093FF,1-41-INFBN,1-41-INFBN,100,ACTIVITY_TYPE,165,Stand-Down
093FF,1-41-INFBN,1-41-INFBN,0,OPTEMPO,14,Low
093FF,1-41-INFBN,1-41-INFBN,14,OPTEMPO,75,Medium
093FF,1-41-INFBN,1-41-INFBN,75,OPTEMPO,100,High
093FF,1-41-INFBN,1-41-INFBN,100,OPTEMPO,165,Low
093FF,1-501-AVNBN,1-501-AVNBN,0,OPTEMPO,10,Low
093FF,1-501-AVNBN,1-501-AVNBN,10,OPTEMPO,75,Medium
093FF,1-501-AVNBN,1-501-AVNBN,75,OPTEMPO,100,High
093FF,1-501-AVNBN,1-501-AVNBN,100,OPTEMPO,165,Low
093FF,1-501-AVNBN,1-501-AVNBN,0,LOCATION,10,VIRANSEHIR
093FF,1-501-AVNBN,1-501-AVNBN,10,LOCATION,165,VIRANSEHIR
093FF,1-501-AVNBN,1-501-AVNBN,0,ACTIVITY_TYPE,10,Deployment
093FF,1-501-AVNBN,1-501-AVNBN,10,ACTIVITY_TYPE,75,Employment-Defensive
093FF,1-501-AVNBN,1-501-AVNBN,75,ACTIVITY_TYPE,100,Employment-Offensive
093FF,1-501-AVNBN,1-501-AVNBN,100,ACTIVITY_TYPE,165,Stand-Down
093FF,1-6-INFBN,1-6-INFBN,0,LOCATION,10,RUINS
093FF,1-6-INFBN,1-6-INFBN,10,LOCATION,165,RUINS
093FF,1-6-INFBN,1-6-INFBN,0,ACTIVITY_TYPE,10,Deployment
093FF,1-6-INFBN,1-6-INFBN,10,ACTIVITY_TYPE,75,Employment-Defensive
093FF,1-6-INFBN,1-6-INFBN,75,ACTIVITY_TYPE,100,Employment-Offensive
093FF,1-6-INFBN,1-6-INFBN,100,ACTIVITY_TYPE,165,Stand-Down
093FF,1-6-INFBN,1-6-INFBN,0,OPTEMPO,10,Low
093FF,1-6-INFBN,1-6-INFBN,10,OPTEMPO,75,Medium
093FF,1-6-INFBN,1-6-INFBN,75,OPTEMPO,100,High
093FF,1-6-INFBN,1-6-INFBN,100,OPTEMPO,165,Low
093FF,1-94-FABN,1-94-FABN,0,OPTEMPO,10,Low
093FF,1-94-FABN,1-94-FABN,10,OPTEMPO,75,Medium
093FF,1-94-FABN,1-94-FABN,75,OPTEMPO,100,High
093FF,1-94-FABN,1-94-FABN,100,OPTEMPO,165,Low
093FF,1-94-FABN,1-94-FABN,0,LOCATION,10,VIRANSEHIR
093FF,1-94-FABN,1-94-FABN,10,LOCATION,165,VIRANSEHIR
093FF,1-94-FABN,1-94-FABN,0,ACTIVITY_TYPE,10,Deployment
093FF,1-94-FABN,1-94-FABN,10,ACTIVITY_TYPE,75,Employment-Defensive
093FF,1-94-FABN,1-94-FABN,75,ACTIVITY_TYPE,100,Employment-Offensive
093FF,1-94-FABN,1-94-FABN,100,ACTIVITY_TYPE,165,Stand-Down
093FF,1-AD,1-AD,0,LOCATION,10,DIYARBAKIR
093FF,1-AD,1-AD,10,LOCATION,165,DIYARBAKIR
093FF,1-AD,1-AD,0,ACTIVITY_TYPE,10,Deployment
093FF,1-AD,1-AD,10,ACTIVITY_TYPE,75,Employment-Defensive
093FF,1-AD,1-AD,75,ACTIVITY_TYPE,100,Employment-Offensive
093FF,1-AD,1-AD,100,ACTIVITY_TYPE,165,Stand-Down
093FF,1-AD,1-AD,0,OPTEMPO,10,Low
093FF,1-AD,1-AD,10,OPTEMPO,75,Medium
093FF,1-AD,1-AD,75,OPTEMPO,100,High
093FF,1-AD,1-AD,100,OPTEMPO,165,Low
093FF,1-AD-DIV,1-AD-DIV,0,LOCATION,10,VIRANSEHIR
093FF,1-AD-DIV,1-AD-DIV,10,LOCATION,165,VIRANSEHIR
093FF,1-AD-DIV,1-AD-DIV,0,ACTIVITY_TYPE,10,Deployment
093FF,1-AD-DIV,1-AD-DIV,10,ACTIVITY_TYPE,75,Employment-Defensive
093FF,1-AD-DIV,1-AD-DIV,75,ACTIVITY_TYPE,100,Employment-Offensive
093FF,1-AD-DIV,1-AD-DIV,100,ACTIVITY_TYPE,165,Stand-Down
093FF,1-AD-DIV,1-AD-DIV,0,OPTEMPO,10,Low
093FF,1-AD-DIV,1-AD-DIV,10,OPTEMPO,75,Medium
093FF,1-AD-DIV,1-AD-DIV,75,OPTEMPO,100,High
093FF,1-AD-DIV,1-AD-DIV,100,OPTEMPO,165,Low
093FF,1-BDE-1-AD,1-BDE-1-AD,0,LOCATION,10,RUINS
093FF,1-BDE-1-AD,1-BDE-1-AD,10,LOCATION,165,RUINS
093FF,1-BDE-1-AD,1-BDE-1-AD,0,ACTIVITY_TYPE,10,Deployment
093FF,1-BDE-1-AD,1-BDE-1-AD,10,ACTIVITY_TYPE,75,Employment-Defensive
093FF,1-BDE-1-AD,1-BDE-1-AD,75,ACTIVITY_TYPE,100,Employment-Offensive
093FF,1-BDE-1-AD,1-BDE-1-AD,100,ACTIVITY_TYPE,165,Stand-Down
093FF,1-BDE-1-AD,1-BDE-1-AD,0,OPTEMPO,10,Low
093FF,1-BDE-1-AD,1-BDE-1-AD,10,OPTEMPO,75,Medium
093FF,1-BDE-1-AD,1-BDE-1-AD,75,OPTEMPO,100,High
093FF,1-BDE-1-AD,1-BDE-1-AD,100,OPTEMPO,165,Low
093FF,102-POL-SUPPLYCO,102-POL-SUPPLYCO,0,LOCATION,45,KONUKCU
093FF,102-POL-SUPPLYCO,102-POL-SUPPLYCO,45,LOCATION,165,KONUKCU
093FF,102-POL-SUPPLYCO,102-POL-SUPPLYCO,0,ACTIVITY_TYPE,45,Deployment
093FF,102-POL-SUPPLYCO,102-POL-SUPPLYCO,45,ACTIVITY_TYPE,75,Employment-CSS
093FF,102-POL-SUPPLYCO,102-POL-SUPPLYCO,75,ACTIVITY_TYPE,100,Employment-CSS
093FF,102-POL-SUPPLYCO,102-POL-SUPPLYCO,100,ACTIVITY_TYPE,165,Stand-Down
093FF,102-POL-SUPPLYCO,102-POL-SUPPLYCO,0,OPTEMPO,45,Low
093FF,102-POL-SUPPLYCO,102-POL-SUPPLYCO,45,OPTEMPO,75,Medium
093FF,102-POL-SUPPLYCO,102-POL-SUPPLYCO,75,OPTEMPO,100,High
093FF,102-POL-SUPPLYCO,102-POL-SUPPLYCO,100,OPTEMPO,165,Low
093FF,106-TCBN,106-TCBN,0,LOCATION,45,KONUKCU
093FF,106-TCBN,106-TCBN,45,LOCATION,165,KONUKCU
093FF,106-TCBN,106-TCBN,0,ACTIVITY_TYPE,45,Deployment
093FF,106-TCBN,106-TCBN,45,ACTIVITY_TYPE,75,Employment-CSS
093FF,106-TCBN,106-TCBN,75,ACTIVITY_TYPE,100,Employment-CSS
093FF,106-TCBN,106-TCBN,100,ACTIVITY_TYPE,165,Stand-Down
093FF,106-TCBN,106-TCBN,0,OPTEMPO,45,Low
093FF,106-TCBN,106-TCBN,45,OPTEMPO,75,Medium
093FF,106-TCBN,106-TCBN,75,OPTEMPO,100,High
093FF,106-TCBN,106-TCBN,100,OPTEMPO,165,Low
093FF,109-MDM-TRKCO,109-MDM-TRKCO,0,LOCATION,75,SIVAREK
093FF,109-MDM-TRKCO,109-MDM-TRKCO,75,LOCATION,165,SIVAREK
093FF,109-MDM-TRKCO,109-MDM-TRKCO,0,ACTIVITY_TYPE,75,Deployment
093FF,109-MDM-TRKCO,109-MDM-TRKCO,75,ACTIVITY_TYPE,100,Employment-CSS
093FF,109-MDM-TRKCO,109-MDM-TRKCO,100,ACTIVITY_TYPE,165,Stand-Down
093FF,109-MDM-TRKCO,109-MDM-TRKCO,0,OPTEMPO,75,Low
093FF,109-MDM-TRKCO,109-MDM-TRKCO,75,OPTEMPO,100,High
093FF,109-MDM-TRKCO,109-MDM-TRKCO,100,OPTEMPO,165,Low
093FF,11-AVN-RGT,11-AVN-RGT,0,LOCATION,30,SANLIURFA
093FF,11-AVN-RGT,11-AVN-RGT,30,LOCATION,165,SANLIURFA
093FF,11-AVN-RGT,11-AVN-RGT,0,ACTIVITY_TYPE,30,Deployment
093FF,11-AVN-RGT,11-AVN-RGT,30,ACTIVITY_TYPE,75,Employment-Defensive
093FF,11-AVN-RGT,11-AVN-RGT,75,ACTIVITY_TYPE,100,Employment-Offensive
093FF,11-AVN-RGT,11-AVN-RGT,100,ACTIVITY_TYPE,165,Stand-Down
093FF,11-AVN-RGT,11-AVN-RGT,0,OPTEMPO,30,Low
093FF,11-AVN-RGT,11-AVN-RGT,30,OPTEMPO,75,Medium
093FF,11-AVN-RGT,11-AVN-RGT,75,OPTEMPO,100,High
093FF,11-AVN-RGT,11-AVN-RGT,100,OPTEMPO,165,Low
093FF,110-POL-SUPPLYCO,110-POL-SUPPLYCO,0,LOCATION,75,SIVAREK
093FF,110-POL-SUPPLYCO,110-POL-SUPPLYCO,75,LOCATION,165,SIVAREK
093FF,110-POL-SUPPLYCO,110-POL-SUPPLYCO,0,ACTIVITY_TYPE,75,Deployment
093FF,110-POL-SUPPLYCO,110-POL-SUPPLYCO,75,ACTIVITY_TYPE,100,Employment-CSS
093FF,110-POL-SUPPLYCO,110-POL-SUPPLYCO,100,ACTIVITY_TYPE,165,Stand-Down
093FF,110-POL-SUPPLYCO,110-POL-SUPPLYCO,0,OPTEMPO,75,Low
093FF,110-POL-SUPPLYCO,110-POL-SUPPLYCO,75,OPTEMPO,100,High
093FF,110-POL-SUPPLYCO,110-POL-SUPPLYCO,100,OPTEMPO,165,Low
093FF,12-AVNBDE,12-AVNBDE,0,LOCATION,30,SANLIURFA
093FF,12-AVNBDE,12-AVNBDE,30,LOCATION,165,SANLIURFA
093FF,12-AVNBDE,12-AVNBDE,0,ACTIVITY_TYPE,30,Deployment
093FF,12-AVNBDE,12-AVNBDE,30,ACTIVITY_TYPE,75,Employment-Defensive
093FF,12-AVNBDE,12-AVNBDE,75,ACTIVITY_TYPE,100,Employment-Offensive
093FF,12-AVNBDE,12-AVNBDE,100,ACTIVITY_TYPE,165,Stand-Down
093FF,12-AVNBDE,12-AVNBDE,0,OPTEMPO,30,Low
093FF,12-AVNBDE,12-AVNBDE,30,OPTEMPO,75,Medium
093FF,12-AVNBDE,12-AVNBDE,75,OPTEMPO,100,High
093FF,12-AVNBDE,12-AVNBDE,100,OPTEMPO,165,Low
093FF,123-MSB,123-MSB,0,OPTEMPO,10,Low
093FF,123-MSB,123-MSB,10,OPTEMPO,75,Medium
093FF,123-MSB,123-MSB,75,OPTEMPO,100,High
093FF,123-MSB,123-MSB,100,OPTEMPO,165,Low
093FF,123-MSB,123-MSB,0,LOCATION,10,VIRANSEHIR
093FF,123-MSB,123-MSB,10,LOCATION,165,VIRANSEHIR
093FF,123-MSB,123-MSB,0,ACTIVITY_TYPE,10,Deployment
093FF,123-MSB,123-MSB,10,ACTIVITY_TYPE,75,Employment-CSS
093FF,123-MSB,123-MSB,75,ACTIVITY_TYPE,100,Employment-CSS
093FF,123-MSB,123-MSB,100,ACTIVITY_TYPE,165,Stand-Down
093FF,125-FSB,125-FSB,0,LOCATION,14,RUINS
093FF,125-FSB,125-FSB,14,LOCATION,165,RUINS
093FF,125-FSB,125-FSB,0,ACTIVITY_TYPE,14,Deployment
093FF,125-FSB,125-FSB,14,ACTIVITY_TYPE,75,Employment-Defensive
093FF,125-FSB,125-FSB,75,ACTIVITY_TYPE,100,Employment-Offensive
093FF,125-FSB,125-FSB,100,ACTIVITY_TYPE,165,Stand-Down
093FF,125-FSB,125-FSB,0,OPTEMPO,14,Low
093FF,125-FSB,125-FSB,14,OPTEMPO,75,Medium
093FF,125-FSB,125-FSB,75,OPTEMPO,100,High
093FF,125-FSB,125-FSB,100,OPTEMPO,165,Low
093FF,125-ORDBN,125-ORDBN,0,OPTEMPO,45,Low
093FF,125-ORDBN,125-ORDBN,45,OPTEMPO,75,Medium
093FF,125-ORDBN,125-ORDBN,75,OPTEMPO,100,High
093FF,125-ORDBN,125-ORDBN,100,OPTEMPO,165,Low
093FF,125-ORDBN,125-ORDBN,0,LOCATION,45,HILVAN
093FF,125-ORDBN,125-ORDBN,45,LOCATION,165,HILVAN
093FF,125-ORDBN,125-ORDBN,0,ACTIVITY_TYPE,45,Deployment
093FF,125-ORDBN,125-ORDBN,45,ACTIVITY_TYPE,75,Employment-CSS
093FF,125-ORDBN,125-ORDBN,75,ACTIVITY_TYPE,100,Employment-CSS
093FF,125-ORDBN,125-ORDBN,100,ACTIVITY_TYPE,165,Stand-Down
093FF,127-DASB,127-DASB,0,OPTEMPO,10,Low
093FF,127-DASB,127-DASB,10,OPTEMPO,75,Medium
093FF,127-DASB,127-DASB,75,OPTEMPO,100,High
093FF,127-DASB,127-DASB,100,OPTEMPO,165,Low
093FF,127-DASB,127-DASB,0,LOCATION,10,VIRANSEHIR
093FF,127-DASB,127-DASB,10,LOCATION,165,VIRANSEHIR
093FF,127-DASB,127-DASB,0,ACTIVITY_TYPE,10,Deployment
093FF,127-DASB,127-DASB,10,ACTIVITY_TYPE,75,Employment-Defensive
093FF,127-DASB,127-DASB,75,ACTIVITY_TYPE,100,Employment-Offensive
093FF,127-DASB,127-DASB,100,ACTIVITY_TYPE,165,Stand-Down
093FF,130-ENGBDE,130-ENGBDE,0,LOCATION,30,SANLIURFA
093FF,130-ENGBDE,130-ENGBDE,30,LOCATION,165,SANLIURFA
093FF,130-ENGBDE,130-ENGBDE,0,ACTIVITY_TYPE,30,Deployment
093FF,130-ENGBDE,130-ENGBDE,30,ACTIVITY_TYPE,75,Employment-Defensive
093FF,130-ENGBDE,130-ENGBDE,75,ACTIVITY_TYPE,100,Employment-Offensive
093FF,130-ENGBDE,130-ENGBDE,100,ACTIVITY_TYPE,165,Stand-Down
093FF,130-ENGBDE,130-ENGBDE,0,OPTEMPO,30,Low
093FF,130-ENGBDE,130-ENGBDE,30,OPTEMPO,75,Medium
093FF,130-ENGBDE,130-ENGBDE,75,OPTEMPO,100,High
093FF,130-ENGBDE,130-ENGBDE,100,OPTEMPO,165,Low
093FF,141-SIGBN,141-SIGBN,0,LOCATION,10,VIRANSEHIR
093FF,141-SIGBN,141-SIGBN,10,LOCATION,165,VIRANSEHIR
093FF,141-SIGBN,141-SIGBN,0,ACTIVITY_TYPE,10,Deployment
093FF,141-SIGBN,141-SIGBN,10,ACTIVITY_TYPE,75,Employment-Defensive
093FF,141-SIGBN,141-SIGBN,75,ACTIVITY_TYPE,100,Employment-Offensive
093FF,141-SIGBN,141-SIGBN,100,ACTIVITY_TYPE,165,Stand-Down
093FF,141-SIGBN,141-SIGBN,0,OPTEMPO,10,Low
093FF,141-SIGBN,141-SIGBN,10,OPTEMPO,75,Medium
093FF,141-SIGBN,141-SIGBN,75,OPTEMPO,100,High
093FF,141-SIGBN,141-SIGBN,100,OPTEMPO,165,Low
093FF,15-PLS-TRKCO,15-PLS-TRKCO,0,LOCATION,45,KONUKCU
093FF,15-PLS-TRKCO,15-PLS-TRKCO,45,LOCATION,165,KONUKCU
093FF,15-PLS-TRKCO,15-PLS-TRKCO,0,ACTIVITY_TYPE,45,Deployment
093FF,15-PLS-TRKCO,15-PLS-TRKCO,45,ACTIVITY_TYPE,75,Employment-CSS
093FF,15-PLS-TRKCO,15-PLS-TRKCO,75,ACTIVITY_TYPE,100,Employment-CSS
093FF,15-PLS-TRKCO,15-PLS-TRKCO,100,ACTIVITY_TYPE,165,Stand-Down
093FF,15-PLS-TRKCO,15-PLS-TRKCO,0,OPTEMPO,45,Low
093FF,15-PLS-TRKCO,15-PLS-TRKCO,45,OPTEMPO,75,Medium
093FF,15-PLS-TRKCO,15-PLS-TRKCO,75,OPTEMPO,100,High
093FF,15-PLS-TRKCO,15-PLS-TRKCO,100,OPTEMPO,165,Low
093FF,16-CSG,16-CSG,0,LOCATION,45,KONUKCU
093FF,16-CSG,16-CSG,45,LOCATION,165,KONUKCU
093FF,16-CSG,16-CSG,0,ACTIVITY_TYPE,45,Deployment
093FF,16-CSG,16-CSG,45,ACTIVITY_TYPE,75,Employment-CSS
093FF,16-CSG,16-CSG,75,ACTIVITY_TYPE,100,Employment-CSS
093FF,16-CSG,16-CSG,100,ACTIVITY_TYPE,165,Stand-Down
093FF,16-CSG,16-CSG,0,OPTEMPO,45,Low
093FF,16-CSG,16-CSG,45,OPTEMPO,75,Medium
093FF,16-CSG,16-CSG,75,OPTEMPO,100,High
093FF,16-CSG,16-CSG,100,OPTEMPO,165,Low
093FF,16-ENGBN,16-ENGBN,0,LOCATION,10,RUINS
093FF,16-ENGBN,16-ENGBN,10,LOCATION,165,RUINS
093FF,16-ENGBN,16-ENGBN,0,ACTIVITY_TYPE,10,Deployment
093FF,16-ENGBN,16-ENGBN,10,ACTIVITY_TYPE,75,Employment-Defensive
093FF,16-ENGBN,16-ENGBN,75,ACTIVITY_TYPE,100,Employment-Offensive
093FF,16-ENGBN,16-ENGBN,100,ACTIVITY_TYPE,165,Stand-Down
093FF,16-ENGBN,16-ENGBN,0,OPTEMPO,10,Low
093FF,16-ENGBN,16-ENGBN,10,OPTEMPO,75,Medium
093FF,16-ENGBN,16-ENGBN,75,OPTEMPO,100,High
093FF,16-ENGBN,16-ENGBN,100,OPTEMPO,165,Low
093FF,18-MAINTBN,18-MAINTBN,0,LOCATION,45,KONUKCU
093FF,18-MAINTBN,18-MAINTBN,45,LOCATION,165,KONUKCU
093FF,18-MAINTBN,18-MAINTBN,0,ACTIVITY_TYPE,45,Deployment
093FF,18-MAINTBN,18-MAINTBN,45,ACTIVITY_TYPE,75,Employment-CSS
093FF,18-MAINTBN,18-MAINTBN,75,ACTIVITY_TYPE,100,Employment-CSS
093FF,18-MAINTBN,18-MAINTBN,100,ACTIVITY_TYPE,165,Stand-Down
093FF,18-MAINTBN,18-MAINTBN,0,OPTEMPO,45,Low
093FF,18-MAINTBN,18-MAINTBN,45,OPTEMPO,75,Medium
093FF,18-MAINTBN,18-MAINTBN,75,OPTEMPO,100,High
093FF,18-MAINTBN,18-MAINTBN,100,OPTEMPO,165,Low
093FF,18-MPBDE,18-MPBDE,0,LOCATION,30,SANLIURFA
093FF,18-MPBDE,18-MPBDE,30,LOCATION,165,SANLIURFA
093FF,18-MPBDE,18-MPBDE,0,ACTIVITY_TYPE,30,Deployment
093FF,18-MPBDE,18-MPBDE,30,ACTIVITY_TYPE,75,Employment-Defensive
093FF,18-MPBDE,18-MPBDE,75,ACTIVITY_TYPE,100,Employment-Offensive
093FF,18-MPBDE,18-MPBDE,100,ACTIVITY_TYPE,165,Stand-Down
093FF,18-MPBDE,18-MPBDE,0,OPTEMPO,30,Low
093FF,18-MPBDE,18-MPBDE,30,OPTEMPO,75,Medium
093FF,18-MPBDE,18-MPBDE,75,OPTEMPO,100,High
093FF,18-MPBDE,18-MPBDE,100,OPTEMPO,165,Low
093FF,18-PERISH-SUBPLT,18-PERISH-SUBPLT,0,LOCATION,75,SIVAREK
093FF,18-PERISH-SUBPLT,18-PERISH-SUBPLT,75,LOCATION,165,SIVAREK
093FF,18-PERISH-SUBPLT,18-PERISH-SUBPLT,0,ACTIVITY_TYPE,75,Deployment
093FF,18-PERISH-SUBPLT,18-PERISH-SUBPLT,75,ACTIVITY_TYPE,100,Employment-CSS
093FF,18-PERISH-SUBPLT,18-PERISH-SUBPLT,100,ACTIVITY_TYPE,165,Stand-Down
093FF,18-PERISH-SUBPLT,18-PERISH-SUBPLT,0,OPTEMPO,75,Low
093FF,18-PERISH-SUBPLT,18-PERISH-SUBPLT,75,OPTEMPO,100,High
093FF,18-PERISH-SUBPLT,18-PERISH-SUBPLT,100,OPTEMPO,165,Low
093FF,181-TCBN,181-TCBN,0,OPTEMPO,45,Low
093FF,181-TCBN,181-TCBN,45,OPTEMPO,75,Medium
093FF,181-TCBN,181-TCBN,75,OPTEMPO,100,High
093FF,181-TCBN,181-TCBN,100,OPTEMPO,165,Low
093FF,181-TCBN,181-TCBN,0,LOCATION,45,HILVAN
093FF,181-TCBN,181-TCBN,45,LOCATION,165,HILVAN
093FF,181-TCBN,181-TCBN,0,ACTIVITY_TYPE,45,Deployment
093FF,181-TCBN,181-TCBN,45,ACTIVITY_TYPE,75,Employment-CSS
093FF,181-TCBN,181-TCBN,75,ACTIVITY_TYPE,100,Employment-CSS
093FF,181-TCBN,181-TCBN,100,ACTIVITY_TYPE,165,Stand-Down
093FF,19-MMC,19-MMC,0,LOCATION,45,SIVAREK
093FF,19-MMC,19-MMC,45,LOCATION,165,SIVAREK
093FF,19-MMC,19-MMC,0,ACTIVITY_TYPE,45,Deployment
093FF,19-MMC,19-MMC,45,ACTIVITY_TYPE,75,Employment-CSS
093FF,19-MMC,19-MMC,75,ACTIVITY_TYPE,100,Employment-CSS
093FF,19-MMC,19-MMC,100,ACTIVITY_TYPE,165,Stand-Down
093FF,19-MMC,19-MMC,0,OPTEMPO,45,Low
093FF,19-MMC,19-MMC,45,OPTEMPO,75,Medium
093FF,19-MMC,19-MMC,75,OPTEMPO,100,High
093FF,19-MMC,19-MMC,100,OPTEMPO,165,Low
093FF,191-ORDBN,191-ORDBN,0,LOCATION,75,SIVAREK
093FF,191-ORDBN,191-ORDBN,75,LOCATION,165,SIVAREK
093FF,191-ORDBN,191-ORDBN,0,ACTIVITY_TYPE,75,Deployment
093FF,191-ORDBN,191-ORDBN,75,ACTIVITY_TYPE,100,Employment-CSS
